business|data_science|general|hot_new|infrastructure|js_frontend|maker|other_languages|python|r|uncategorized
False|True|False|False|False|False|False|False|True|True|False
False|False|True|False|True|False|False|False|True|False|False
True|True|False|True|True|False|False|False|True|False|True
True|True|True|True|True|True|True|False|True|False|True
True|True|True|True|True|True|False|True|True|False|True
False|False|True|False|True|False|False|False|True|False|False
False|True|True|False|True|True|True|True|True|True|True
False|True|False|False|True|False|False|False|True|True|False
False|False|False|False|False|False|False|False|True|False|True
False|True|False|False|False|False|False|False|True|True|False
False|False|True|False|False|True|True|False|True|False|True
False|False|False|False|False|False|False|False|False|False|False
False|True|True|False|False|False|False|False|True|False|False
False|True|True|True|False|True|False|True|True|True|True
False|False|True|False|False|True|False|False|True|False|True
False|False|True|False|True|False|False|False|True|False|True
True|True|True|True|False|True|False|False|True|False|True
False|False|False|False|False|False|False|False|True|False|False
False|True|True|False|False|False|False|True|True|True|True
False|False|True|False|False|False|False|True|True|False|True
False|True|True|False|True|False|True|True|True|False|True
False|False|False|False|False|False|False|False|False|False|False
False|True|True|True|False|False|False|False|True|True|True
False|False|False|False|False|False|False|False|False|False|False
True|False|True|False|False|False|False|False|True|False|False
True|False|True|False|True|False|True|False|True|False|True
False|False|True|False|True|True|False|False|True|True|True
False|True|True|False|True|True|True|True|True|True|True
False|False|False|False|False|False|False|False|True|False|True
True|True|True|False|False|True|False|True|True|False|True
False|False|False|True|False|False|True|True|True|False|False
False|True|False|False|False|False|False|False|True|False|True
False|True|True|True|True|True|True|True|True|False|True
True|False|True|False|False|False|True|False|True|False|True
False|False|False|False|False|False|False|False|True|False|True
False|True|True|False|False|False|False|False|True|False|True
False|False|False|False|False|False|True|False|True|False|True
False|True|False|False|False|False|True|False|True|True|False
False|False|True|False|True|True|False|False|True|False|False
False|False|True|False|True|False|False|False|True|False|True
False|False|True|False|False|False|False|False|True|False|False
True|True|False|False|False|False|False|False|True|False|True
False|True|True|True|True|False|False|False|True|False|True
True|True|True|True|True|False|True|True|True|False|True
False|True|False|False|False|False|False|False|True|True|False
False|False|False|False|True|False|False|False|True|False|False
False|False|True|False|False|False|False|False|True|False|True
False|True|True|False|False|False|True|False|True|True|False
False|True|False|False|False|False|False|False|True|True|True
True|True|True|False|True|False|False|False|True|False|True
False|True|False|False|True|False|False|True|True|True|True
True|True|True|False|True|False|True|True|True|False|False
True|True|True|False|True|True|True|True|True|True|True
False|False|True|False|True|True|False|False|True|False|True
False|False|False|False|False|False|False|False|True|False|False
False|False|False|False|False|False|False|False|True|False|False
False|False|False|False|False|False|False|False|False|False|False
False|False|False|False|False|True|False|False|True|False|False
True|True|True|False|True|True|True|True|True|False|True
True|True|True|False|True|False|False|True|True|False|True
False|True|False|False|False|False|False|False|True|False|False
True|True|True|True|True|True|True|True|True|True|True
True|True|True|False|False|False|False|False|True|True|True
False|True|True|False|True|True|True|True|True|True|True
False|False|False|False|False|False|False|False|True|False|False
False|False|False|False|False|False|False|False|False|False|False
False|False|False|False|False|False|False|True|True|False|False
False|True|False|True|False|True|False|False|True|True|False
False|False|False|False|False|False|False|False|False|False|False
False|False|False|False|False|False|False|False|False|False|False
True|True|True|False|False|False|False|False|True|False|True
True|True|True|True|True|True|False|False|True|False|True
False|True|True|True|True|False|True|False|True|True|True
False|True|True|True|True|True|False|True|True|True|True
False|False|True|False|False|True|False|True|True|False|False
False|False|False|False|False|False|False|False|False|False|False
False|True|False|False|False|False|False|False|True|False|False
False|True|False|False|False|False|False|False|True|True|False
False|False|False|False|False|False|False|False|False|False|False
